----------------------------------LAWS----------------------------------
Law #0: 903, complexity: 28;
	Law #108 Criterion: 947;
	Law #109 Criterion: 1637;
	Law #114 Criterion: 1487;
	Law #117 Criterion: 1753;
	Law #118 Criterion: 167;
	Law #119 Criterion: 1217;
	Law #120 Criterion: 1901;
	Law #121 Criterion: 643;
	Law #123 Criterion: 983;
	Law #124 Criterion: 1367;
	Law #129 Criterion: 1471;
	Law #131 Criterion: 1471;
	Law #132 Criterion: 1063;
	Law #133 Criterion: 647;
	Law #134 Criterion: 23;
	Law #140 Criterion: 1789;
	Law #147 Criterion: 1579;
	Law #149 Criterion: 439;
	Law #150 Criterion: 977;
	Law #151 Criterion: 3;
	Law #152 Criterion: 271;
	Law #153 Criterion: 1657;
	Law #154 Criterion: 1559;
	Law #156 Criterion: 1733;
	Law #157 Criterion: 1361;
	Law #159 Criterion: 953;
	Law #162 Criterion: 547;
	Law #163 Criterion: 1697;
	Law #170 Criterion: 103;
	Law #172 Criterion: 1153;
	Law #174 Criterion: 1259;
	Law #176 Criterion: 1669;
Person #32
Wants to be in party: 1
Strategy of voting: party_voting
Votes for:
	Law #0 Criterion: 229;
	Law #2 Criterion: 827;
	Law #3 Criterion: 1613;
	Law #4 Criterion: 1279;
	Law #5 Criterion: 1447;
	Law #7 Criterion: 317;
	Law #9 Criterion: 491;
	Law #12 Criterion: 1993;
	Law #20 Criterion: 1049;
	Law #22 Criterion: 223;
	Law #29 Criterion: 1213;
	Law #30 Criterion: 1931;
	Law #33 Criterion: 1637;
	Law #34 Criterion: 983;
	Law #35 Criterion: 719;
	Law #43 Criterion: 97;
	Law #45 Criterion: 1861;
	Law #47 Criterion: 1061;
	Law #51 Criterion: 1091;
	Law #53 Criterion: 907;
	Law #56 Criterion: 521;
	Law #59 Criterion: 647;
	Law #60 Criterion: 1283;
	Law #62 Criterion: 433;
	Law #64 Criterion: 733;
	Law #65 Criterion: 1783;
	Law #66 Criterion: 859;
	Law #68 Criterion: 691;
	Law #69 Criterion: 1543;
	Law #72 Criterion: 619;
	Law #74 Criterion: 29;
	Law #75 Criterion: 1777;
	Law #77 Criterion: 449;
	Law #78 Criterion: 439;
	Law #79 Criterion: 1433;
	Law #81 Criterion: 1009;
	Law #83 Criterion: 1901;
	Law #85 Criterion: 863;
	Law #87 Criterion: 769;
	Law #90 Criterion: 1487;
	Law #92 Criterion: 1181;
	Law #93 Criterion: 1399;
	Law #97 Criterion: 89;
	Law #102 Criterion: 163;
	Law #104 Criterion: 79;
	Law #105 Criterion: 929;
	Law #106 Criterion: 1861;
	Law #107 Criterion: 71;
	Law #110 Criterion: 1867;
	Law #111 Criterion: 1657;
	Law #112 Criterion: 653;
	Law #113 Criterion: 373;
	Law #114 Criterion: 1151;
	Law #115 Criterion: 1249;
	Law #116 Criterion: 809;
	Law #118 Criterion: 1109;
	Law #122 Criterion: 1373;
	Law #123 Criterion: 293;
	Law #124 Criterion: 263;
	Law #125 Criterion: 839;
	Law #126 Criterion: 113;
	Law #127 Criterion: 97;
	Law #128 Criterion: 239;
	Law #132 Criterion: 79;
	Law #133 Criterion: 1789;
	Law #137 Criterion: 823;
	Law #139 Criterion: 983;
	Law #140 Criterion: 227;
	Law #142 Criterion: 1249;
	Law #144 Criterion: 283;
	Law #145 Criterion: 773;
	Law #147 Criterion: 127;
	Law #149 Criterion: 1999;
	Law #151 Criterion: 1381;
	Law #152 Criterion: 941;
	Law #156 Criterion: 439;
	Law #158 Criterion: 2;
	Law #163 Criterion: 1283;
	Law #166 Criterion: 659;
	Law #167 Criterion: 193;
	Law #168 Criterion: 271;
	Law #169 Criterion: 353;
	Law #171 Criterion: 167;
	Law #172 Criterion: 1499;
	Law #173 Criterion: 269;
	Law #176 Criterion: 257;
Person #33
Wants to be in party: 1
Strategy of voting: random
Votes for:
	Law #1 Criterion: 659;
	Law #4 Criterion: 877;
	Law #5 Criterion: 821;
	Law #7 Criterion: 617;
	Law #8 Criterion: 1753;
	Law #10 Criterion: 571;
	Law #14 Criterion: 149;
	Law #15 Criterion: 877;
	Law #19 Criterion: 101;
	Law #20 Criterion: 631;
	Law #21 Criterion: 1399;
	Law #22 Criterion: 167;
	Law #24 Criterion: 1873;
	Law #27 Criterion: 1117;
	Law #28 Criterion: 523;
	Law #29 Criterion: 1373;
	Law #31 Criterion: 1601;
	Law #34 Criterion: 79;
	Law #36 Criterion: 1493;
	Law #41 Criterion: 19;
	Law #45 Criterion: 1949;
	Law #46 Criterion: 109;
	Law #48 Criterion: 1847;
	Law #49 Criterion: 1723;
	Law #52 Criterion: 449;
	Law #54 Criterion: 991;
	Law #56 Criterion: 1171;
	Law #57 Criterion: 199;
	Law #61 Criterion: 769;
	Law #65 Criterion: 809;
	Law #66 Criterion: 1997;
	Law #73 Criterion: 631;
	Law #75 Criterion: 373;
	Law #76 Criterion: 787;
	Law #77 Criterion: 227;
	Law #79 Criterion: 809;
	Law #80 Criterion: 31;
	Law #81 Criterion: 449;
	Law #82 Criterion: 109;
	Law #83 Criterion: 1879;
	Law #85 Criterion: 1213;
	Law #86 Criterion: 151;
	Law #91 Criterion: 359;
	Law #93 Criterion: 1423;
	Law #94 Criterion: 1277;
	Law #95 Criterion: 1847;
	Law #98 Criterion: 953;
	Law #100 Criterion: 1151;
	Law #101 Criterion: 409;
	Law #103 Criterion: 1231;
	Law #104 Criterion: 139;
	Law #107 Criterion: 83;
	Law #108 Criterion: 823;
	Law #109 Criterion: 131;
	Law #110 Criterion: 1579;
	Law #111 Criterion: 23;
	Law #115 Criterion: 701;
	Law #116 Criterion: 727;
	Law #118 Criterion: 613;
	Law #119 Criterion: 673;
	Law #120 Criterion: 101;
	Law #121 Criterion: 1423;
	Law #122 Criterion: 991;
	Law #126 Criterion: 683;
	Law #127 Criterion: 827;
	Law #129 Criterion: 509;
	Law #132 Criterion: 313;
	Law #134 Criterion: 547;
	Law #136 Criterion: 661;
	Law #137 Criterion: 1949;
	Law #142 Criterion: 971;
	Law #144 Criterion: 89;
	Law #145 Criterion: 1399;
	Law #147 Criterion: 1049;
	Law #149 Criterion: 1787;
	Law #150 Criterion: 1151;
	Law #158 Criterion: 1873;
	Law #164 Criterion: 1907;
	Law #165 Criterion: 571;
	Law #170 Criterion: 1951;
	Law #171 Criterion: 1811;
	Law #173 Criterion: 587;
	Law #175 Criterion: 1019;
Person #34
Wants to be in party: 0
Strategy of voting: party_voting
Votes for:
	Law #1 Criterion: 709;
	Law #2 Criterion: 809;
	Law #5 Criterion: 1297;
	Law #6 Criterion: 1801;
	Law #14 Criterion: 587;
	Law #15 Criterion: 281;
	Law #18 Criterion: 1409;
	Law #19 Criterion: 1487;
	Law #20 Criterion: 809;
	Law #22 Criterion: 1607;
	Law #24 Criterion: 269;
	Law #25 Criterion: 1811;
	Law #28 Criterion: 751;
	Law #29 Criterion: 983;
	Law #30 Criterion: 59;
	Law #31 Criterion: 1697;
	Law #34 Criterion: 1559;
	Law #35 Criterion: 977;
	Law #36 Criterion: 857;
	Law #39 Criterion: 569;
	Law #41 Criterion: 599;
	Law #43 Criterion: 1429;
	Law #46 Criterion: 1009;
	Law #47 Criterion: 1181;
	Law #50 Criterion: 317;
	Law #52 Criterion: 1877;
	Law #53 Criterion: 1613;
	Law #54 Criterion: 1277;
	Law #56 Criterion: 1481;
	Law #57 Criterion: 79;
	Law #59 Criterion: 37;
	Law #60 Criterion: 577;
	Law #61 Criterion: 1721;
	Law #63 Criterion: 151;
	Law #64 Criterion: 1381;
	Law #65 Criterion: 163;
	Law #71 Criterion: 251;
	Law #72 Criterion: 1907;
	Law #76 Criterion: 1153;
	Law #77 Criterion: 257;
	Law #78 Criterion: 83;
	Law #81 Criterion: 577;
	Law #84 Criterion: 137;
	Law #86 Criterion: 557;
	Law #89 Criterion: 31;
	Law #93 Criterion: 631;
	Law #97 Criterion: 727;
	Law #99 Criterion: 1481;
	Law #101 Criterion: 1499;
	Law #102 Criterion: 1259;
	Law #103 Criterion: 487;
	Law #104 Criterion: 1637;
	Law #105 Criterion: 1109;
	Law #106 Criterion: 1097;
	Law #107 Criterion: 149;
	Law #111 Criterion: 79;
	Law #113 Criterion: 433;
	Law #114 Criterion: 251;
	Law #117 Criterion: 1259;
	Law #120 Criterion: 23;
	Law #121 Criterion: 967;
	Law #122 Criterion: 1627;
	Law #123 Criterion: 1097;
	Law #127 Criterion: 599;
	Law #134 Criterion: 1697;
	Law #136 Criterion: 773;
	Law #137 Criterion: 337;
	Law #139 Criterion: 1303;
	Law #142 Criterion: 1373;
	Law #144 Criterion: 1663;
	Law #145 Criterion: 1627;
	Law #149 Criterion: 173;
	Law #152 Criterion: 353;
	Law #155 Criterion: 1151;
	Law #161 Criterion: 887;
	Law #162 Criterion: 523;
	Law #166 Criterion: 1069;
	Law #169 Criterion: 37;
	Law #170 Criterion: 271;
	Law #171 Criterion: 1873;
	Law #173 Criterion: 1103;
	Law #175 Criterion: 1453;
	Law #176 Criterion: 443;
Person #35
Wants to be in party: 0
Strategy of voting: own_voting
Votes for:
	Law #1 Criterion: 1249;
	Law #2 Criterion: 1051;
	Law #3 Criterion: 1013;
	Law #4 Criterion: 577;
	Law #5 Criterion: 659;
	Law #8 Criterion: 1039;
	Law #9 Criterion: 29;
	Law #12 Criterion: 233;
	Law #15 Criterion: 607;
	Law #16 Criterion: 101;
	Law #18 Criterion: 1223;
	Law #19 Criterion: 971;
	Law #22 Criterion: 937;
	Law #23 Criterion: 1459;
	Law #24 Criterion: 1783;
	Law #25 Criterion: 283;
	Law #28 Criterion: 83;
	Law #29 Criterion: 277;
	Law #31 Criterion: 659;
	Law #33 Criterion: 1213;
	Law #36 Criterion: 1303;
	Law #37 Criterion: 1087;
	Law #39 Criterion: 379;
	Law #41 Criterion: 1871;
	Law #42 Criterion: 1613;
	Law #43 Criterion: 1427;
	Law #44 Criterion: 1277;
	Law #46 Criterion: 1567;
	Law #48 Criterion: 11;
	Law #49 Criterion: 653;
	Law #53 Criterion: 1187;
	Law #54 Criterion: 881;
	Law #55 Criterion: 887;
	Law #56 Criterion: 739;
	Law #57 Criterion: 1571;
	Law #60 Criterion: 947;
	Law #62 Criterion: 521;
	Law #65 Criterion: 1063;
	Law #66 Criterion: 1193;
	Law #70 Criterion: 127;
	Law #73 Criterion: 1109;
	Law #75 Criterion: 1601;
	Law #76 Criterion: 1543;
	Law #78 Criterion: 409;
	Law #79 Criterion: 659;
	Law #81 Criterion: 1867;
	Law #88 Criterion: 733;
	Law #90 Criterion: 727;
	Law #92 Criterion: 1381;
	Law #93 Criterion: 383;
	Law #94 Criterion: 1049;
	Law #95 Criterion: 487;
	Law #99 Criterion: 499;
	Law #100 Criterion: 73;
	Law #102 Criterion: 67;
	Law #103 Criterion: 641;
	Law #105 Criterion: 1423;
	Law #106 Criterion: 829;
	Law #108 Criterion: 241;
	Law #109 Criterion: 227;
	Law #111 Criterion: 577;
	Law #112 Criterion: 1571;
	Law #114 Criterion: 1031;
	Law #115 Criterion: 283;
	Law #116 Criterion: 1733;
	Law #117 Criterion: 1013;
	Law #118 Criterion: 1319;
	Law #119 Criterion: 193;
	Law #120 Criterion: 239;
	Law #122 Criterion: 461;
	Law #124 Criterion: 571;
	Law #125 Criterion: 1093;
	Law #126 Criterion: 1741;
	Law #127 Criterion: 1289;
	Law #128 Criterion: 1019;
	Law #129 Criterion: 443;
	Law #132 Criterion: 971;
	Law #133 Criterion: 1279;
	Law #135 Criterion: 293;
	Law #136 Criterion: 1721;
	Law #137 Criterion: 359;
	Law #140 Criterion: 1523;
	Law #141 Criterion: 521;
	Law #142 Criterion: 1019;
	Law #143 Criterion: 1867;
	Law #147 Criterion: 739;
	Law #148 Criterion: 1733;
	Law #149 Criterion: 853;
	Law #150 Criterion: 911;
	Law #151 Criterion: 43;
	Law #153 Criterion: 73;
	Law #154 Criterion: 521;
	Law #156 Criterion: 421;
	Law #157 Criterion: 463;
	Law #158 Criterion: 941;
	Law #160 Criterion: 1801;
	Law #162 Criterion: 1279;
	Law #165 Criterion: 73;
	Law #166 Criterion: 233;
	Law #169 Criterion: 379;
	Law #172 Criterion: 467;
	Law #174 Criterion: 929;
	Law #176 Criterion: 1531;
Person #36
Wants to be in party: 1
Strategy of voting: own_voting
Votes for:
	Law #2 Criterion: 829;
	Law #3 Criterion: 1879;
	Law #4 Criterion: 419;
	Law #6 Criterion: 601;
	Law #9 Criterion: 241;
	Law #10 Criterion: 1579;
	Law #12 Criterion: 1531;
	Law #16 Criterion: 109;
	Law #17 Criterion: 929;
	Law #20 Criterion: 467;
	Law #21 Criterion: 211;
	Law #23 Criterion: 1381;
	Law #24 Criterion: 1933;
	Law #27 Criterion: 479;
	Law #29 Criterion: 311;
	Law #31 Criterion: 197;
	Law #34 Criterion: 1381;
	Law #36 Criterion: 1303;
	Law #37 Criterion: 967;
	Law #41 Criterion: 1877;
	Law #43 Criterion: 577;
	Law #47 Criterion: 1579;
	Law #50 Criterion: 1999;
	Law #52 Criterion: 1193;
	Law #54 Criterion: 1879;
	Law #55 Criterion: 89;
	Law #65 Criterion: 773;
	Law #66 Criterion: 1217;
	Law #68 Criterion: 1097;
	Law #69 Criterion: 1031;
	Law #71 Criterion: 1249;
	Law #72 Criterion: 1223;
	Law #73 Criterion: 1973;
	Law #75 Criterion: 1019;
	Law #80 Criterion: 1789;
	Law #84 Criterion: 887;
	Law #85 Criterion: 991;
	Law #90 Criterion: 863;
	Law #92 Criterion: 1217;
	Law #93 Criterion: 1231;
	Law #94 Criterion: 1801;
	Law #95 Criterion: 1223;
	Law #97 Criterion: 7;
	Law #98 Criterion: 227;
	Law #100 Criterion: 1061;
	Law #101 Criterion: 73;
	Law #104 Criterion: 587;
	Law #108 Criterion: 1901;
	Law #109 Criterion: 103;
	Law #112 Criterion: 1801;
	Law #113 Criterion: 29;
	Law #114 Criterion: 523;
	Law #117 Criterion: 1847;
	Law #118 Criterion: 853;
	Law #120 Criterion: 461;
	Law #122 Criterion: 683;
	Law #124 Criterion: 439;
	Law #129 Criterion: 1091;
	Law #130 Criterion: 1217;
	Law #132 Criterion: 523;
	Law #137 Criterion: 1423;
	Law #139 Criterion: 1249;
	Law #140 Criterion: 1129;
	Law #148 Criterion: 443;
	Law #149 Criterion: 139;
	Law #155 Criterion: 1913;
	Law #156 Criterion: 1381;
	Law #157 Criterion: 127;
	Law #160 Criterion: 233;
	Law #162 Criterion: 47;
	Law #164 Criterion: 461;
	Law #165 Criterion: 1151;
	Law #166 Criterion: 383;
	Law #168 Criterion: 1151;
	Law #171 Criterion: 1087;
	Law #174 Criterion: 1777;
	Law #176 Criterion: 521;
Person #37
Wants to be in party: 0
Strategy of voting: random
Votes for:
	Law #0 Criterion: 593;
	Law #2 Criterion: 37;
	Law #6 Criterion: 1907;
	Law #7 Criterion: 509;
	Law #8 Criterion: 1997;
	Law #10 Criterion: 751;
	Law #11 Criterion: 61;
	Law #12 Criterion: 227;
	Law #13 Criterion: 599;
	Law #15 Criterion: 1433;
	Law #16 Criterion: 331;
	Law #18 Criterion: 1409;
	Law #19 Criterion: 1423;
	Law #20 Criterion: 1777;
	Law #21 Criterion: 1373;
	Law #22 Criterion: 401;
	Law #23 Criterion: 1499;
	Law #26 Criterion: 1289;
	Law #27 Criterion: 643;
	Law #30 Criterion: 757;
	Law #31 Criterion: 1427;
	Law #32 Criterion: 89;
	Law #33 Criterion: 79;
	Law #36 Criterion: 857;
	Law #38 Criterion: 397;
	Law #42 Criterion: 421;
	Law #45 Criterion: 1013;
	Law #49 Criterion: 1951;
	Law #50 Criterion: 673;
	Law #51 Criterion: 1439;
	Law #54 Criterion: 1789;
	Law #55 Criterion: 1231;
	Law #56 Criterion: 251;
	Law #59 Criterion: 887;
	Law #60 Criterion: 677;
	Law #63 Criterion: 137;
	Law #67 Criterion: 389;
	Law #72 Criterion: 1559;
	Law #73 Criterion: 223;
	Law #74 Criterion: 307;
	Law #78 Criterion: 811;
	Law #79 Criterion: 1153;
	Law #80 Criterion: 587;
	Law #81 Criterion: 1993;
	Law #83 Criterion: 787;
	Law #86 Criterion: 929;
	Law #87 Criterion: 1499;
	Law #88 Criterion: 1669;
	Law #92 Criterion: 1429;
	Law #93 Criterion: 13;
	Law #94 Criterion: 1381;
	Law #95 Criterion: 1669;
	Law #96 Criterion: 1997;
	Law #98 Criterion: 1091;
	Law #100 Criterion: 443;
	Law #102 Criterion: 151;
	Law #104 Criterion: 1301;
	Law #106 Criterion: 593;
	Law #108 Criterion: 1307;
	Law #109 Criterion: 41;
	Law #111 Criterion: 173;
	Law #112 Criterion: 157;
	Law #116 Criterion: 1453;
	Law #118 Criterion: 1579;
	Law #119 Criterion: 1669;
	Law #125 Criterion: 293;
	Law #127 Criterion: 647;
	Law #130 Criterion: 1087;
	Law #131 Criterion: 491;
	Law #134 Criterion: 239;
	Law #136 Criterion: 449;
	Law #137 Criterion: 709;
	Law #139 Criterion: 919;
	Law #140 Criterion: 523;
	Law #142 Criterion: 1583;
	Law #145 Criterion: 1609;
	Law #147 Criterion: 1907;
	Law #151 Criterion: 1289;
	Law #153 Criterion: 937;
	Law #157 Criterion: 827;
	Law #158 Criterion: 269;
	Law #160 Criterion: 1657;
	Law #161 Criterion: 1151;
	Law #163 Criterion: 1741;
	Law #165 Criterion: 1289;
	Law #167 Criterion: 113;
	Law #169 Criterion: 1093;
	Law #170 Criterion: 139;
	Law #173 Criterion: 1973;
	Law #176 Criterion: 821;
Person #38
Wants to be in party: 0
Strategy of voting: party_voting
Votes for:
	Law #1 Criterion: 1559;
	Law #3 Criterion: 683;
	Law #5 Criterion: 673;
	Law #6 Criterion: 1283;
	Law #7 Criterion: 1483;
	Law #8 Criterion: 479;
	Law #9 Criterion: 523;
	Law #10 Criterion: 733;
	Law #12 Criterion: 1361;
	Law #14 Criterion: 1669;
	Law #17 Criterion: 1933;
	Law #18 Criterion: 947;
	Law #22 Criterion: 139;
	Law #23 Criterion: 1373;
	Law #25 Criterion: 1307;
	Law #29 Criterion: 269;
	Law #30 Criterion: 1637;
	Law #35 Criterion: 151;
	Law #36 Criterion: 59;
	Law #37 Criterion: 1367;
	Law #41 Criterion: 719;
	Law #42 Criterion: 241;
	Law #43 Criterion: 1499;
	Law #44 Criterion: 59;
	Law #48 Criterion: 947;
	Law #50 Criterion: 173;
	Law #51 Criterion: 719;
	Law #52 Criterion: 1153;
	Law #56 Criterion: 61;
	Law #57 Criterion: 349;
	Law #59 Criterion: 773;
	Law #60 Criterion: 433;
	Law #61 Criterion: 1367;
	Law #65 Criterion: 1453;
	Law #68 Criterion: 1877;
	Law #69 Criterion: 47;
	Law #73 Criterion: 17;
	Law #74 Criterion: 227;
	Law #76 Criterion: 1523;
	Law #77 Criterion: 1871;
	Law #79 Criterion: 1789;
	Law #81 Criterion: 1783;
	Law #85 Criterion: 113;
	Law #86 Criterion: 1289;
	Law #87 Criterion: 683;
	Law #88 Criterion: 773;
	Law #90 Criterion: 191;
	Law #92 Criterion: 443;
	Law #93 Criterion: 1439;
	Law #95 Criterion: 1039;
	Law #98 Criterion: 613;
	Law #102 Criterion: 179;
	Law #103 Criterion: 1721;
	Law #104 Criterion: 401;
	Law #108 Criterion: 1873;
	Law #109 Criterion: 997;
	Law #110 Criterion: 1123;
	Law #113 Criterion: 1723;
	Law #114 Criterion: 1697;
	Law #118 Criterion: 1667;
	Law #120 Criterion: 661;
	Law #121 Criterion: 859;
	Law #125 Criterion: 1723;
	Law #127 Criterion: 107;
	Law #128 Criterion: 1931;
	Law #129 Criterion: 1289;
	Law #130 Criterion: 239;
	Law #132 Criterion: 1543;
	Law #135 Criterion: 541;
	Law #136 Criterion: 29;
	Law #138 Criterion: 1789;
	Law #139 Criterion: 1429;
	Law #140 Criterion: 1723;
	Law #141 Criterion: 1621;
	Law #142 Criterion: 1433;
	Law #143 Criterion: 1693;
	Law #144 Criterion: 467;
	Law #145 Criterion: 937;
	Law #147 Criterion: 37;
	Law #150 Criterion: 769;
	Law #151 Criterion: 1637;
	Law #152 Criterion: 163;
	Law #156 Criterion: 239;
	Law #158 Criterion: 1193;
	Law #164 Criterion: 1913;
	Law #166 Criterion: 887;
	Law #168 Criterion: 37;
	Law #170 Criterion: 127;
	Law #171 Criterion: 1949;
	Law #172 Criterion: 1153;
	Law #173 Criterion: 659;
	Law #176 Criterion: 43;
Person #39
Wants to be in party: 1
Strategy of voting: party_voting
Votes for:
	Law #1 Criterion: 37;
	Law #4 Criterion: 547;
	Law #6 Criterion: 1871;
	Law #8 Criterion: 631;
	Law #10 Criterion: 1579;
	Law #11 Criterion: 1051;
	Law #13 Criterion: 1181;
	Law #14 Criterion: 641;
	Law #17 Criterion: 1193;
	Law #18 Criterion: 449;
	Law #19 Criterion: 137;
	Law #22 Criterion: 139;
	Law #24 Criterion: 1069;
	Law #27 Criterion: 1201;
	Law #30 Criterion: 1423;
	Law #33 Criterion: 911;
	Law #34 Criterion: 1699;
	Law #35 Criterion: 173;
	Law #36 Criterion: 1249;
	Law #37 Criterion: 479;
	Law #39 Criterion: 619;
	Law #41 Criterion: 1459;
	Law #42 Criterion: 1783;
	Law #46 Criterion: 827;
	Law #47 Criterion: 1609;
	Law #49 Criterion: 557;
	Law #52 Criterion: 131;
	Law #53 Criterion: 211;
	Law #56 Criterion: 1193;
	Law #58 Criterion: 1447;
	Law #59 Criterion: 881;
	Law #60 Criterion: 2;
	Law #61 Criterion: 1741;
	Law #64 Criterion: 167;
	Law #66 Criterion: 1567;
	Law #69 Criterion: 997;
	Law #71 Criterion: 1129;
	Law #73 Criterion: 1663;
	Law #75 Criterion: 769;
	Law #76 Criterion: 857;
	Law #77 Criterion: 1321;
	Law #78 Criterion: 1783;
	Law #80 Criterion: 1879;
	Law #84 Criterion: 277;
	Law #85 Criterion: 1987;
	Law #86 Criterion: 1213;
	Law #89 Criterion: 1789;
	Law #90 Criterion: 1493;
	Law #91 Criterion: 683;
	Law #94 Criterion: 571;
	Law #95 Criterion: 229;
	Law #98 Criterion: 1627;
	Law #102 Criterion: 1471;
	Law #103 Criterion: 751;
	Law #105 Criterion: 1483;
	Law #106 Criterion: 883;
	Law #108 Criterion: 73;
	Law #113 Criterion: 1913;
	Law #115 Criterion: 1753;
	Law #116 Criterion: 937;
	Law #117 Criterion: 1873;
	Law #118 Criterion: 179;
	Law #119 Criterion: 379;
	Law #120 Criterion: 29;
	Law #121 Criterion: 1741;
	Law #127 Criterion: 1951;
	Law #129 Criterion: 1879;
	Law #132 Criterion: 1867;
	Law #134 Criterion: 197;
	Law #135 Criterion: 647;
	Law #136 Criterion: 1999;
	Law #137 Criterion: 991;
	Law #138 Criterion: 211;
	Law #140 Criterion: 367;
	Law #142 Criterion: 307;
	Law #146 Criterion: 1861;
	Law #147 Criterion: 67;
	Law #148 Criterion: 1249;
	Law #149 Criterion: 877;
	Law #150 Criterion: 1777;
	Law #152 Criterion: 1913;
	Law #154 Criterion: 1601;
	Law #155 Criterion: 827;
	Law #156 Criterion: 311;
	Law #157 Criterion: 109;
	Law #158 Criterion: 701;
	Law #161 Criterion: 593;
	Law #165 Criterion: 1567;
	Law #166 Criterion: 1193;
	Law #167 Criterion: 383;
	Law #168 Criterion: 1753;
	Law #170 Criterion: 227;
	Law #171 Criterion: 461;
	Law #172 Criterion: 1303;
	Law #175 Criterion: 367;
	Law #176 Criterion: 751;
Person #40
Wants to be in party: 1
Strategy of voting: party_voting
Votes for:
	Law #0 Criterion: 137;
	Law #2 Criterion: 1753;
	Law #5 Criterion: 379;
	Law #7 Criterion: 1787;
	Law #8 Criterion: 1637;
	Law #9 Criterion: 467;
	Law #10 Criterion: 827;
	Law #11 Criterion: 1489;
	Law #12 Criterion: 179;
	Law #14 Criterion: 331;
	Law #15 Criterion: 1523;
	Law #17 Criterion: 1823;
	Law #18 Criterion: 271;
	Law #19 Criterion: 1759;
	Law #20 Criterion: 13;
	Law #22 Criterion: 997;
	Law #23 Criterion: 431;
	Law #26 Criterion: 1033;
	Law #29 Criterion: 41;
	Law #37 Criterion: 727;
	Law #38 Criterion: 661;
	Law #39 Criterion: 1283;
	Law #41 Criterion: 41;
	Law #42 Criterion: 1249;
	Law #43 Criterion: 1709;
	Law #45 Criterion: 53;
	Law #46 Criterion: 193;
	Law #48 Criterion: 1459;
	Law #50 Criterion: 1597;
	Law #53 Criterion: 1051;
	Law #54 Criterion: 109;
	Law #57 Criterion: 1531;
	Law #58 Criterion: 457;
	Law #62 Criterion: 881;
	Law #66 Criterion: 881;
	Law #67 Criterion: 1789;
	Law #68 Criterion: 577;
	Law #69 Criterion: 673;
	Law #70 Criterion: 1039;
	Law #73 Criterion: 503;
	Law #74 Criterion: 509;
	Law #75 Criterion: 151;
	Law #78 Criterion: 1889;
	Law #79 Criterion: 419;
	Law #82 Criterion: 773;
	Law #83 Criterion: 1033;
	Law #86 Criterion: 733;
	Law #92 Criterion: 541;
	Law #93 Criterion: 863;
	Law #94 Criterion: 97;
	Law #95 Criterion: 1381;
	Law #99 Criterion: 1327;
	Law #102 Criterion: 283;
	Law #105 Criterion: 317;
	Law #108 Criterion: 547;
	Law #109 Criterion: 479;
	Law #110 Criterion: 149;
	Law #111 Criterion: 997;
	Law #115 Criterion: 1451;
	Law #116 Criterion: 587;
	Law #121 Criterion: 659;
	Law #123 Criterion: 587;
	Law #124 Criterion: 17;
	Law #128 Criterion: 607;
	Law #129 Criterion: 797;
	Law #130 Criterion: 353;
	Law #132 Criterion: 257;
	Law #133 Criterion: 23;
	Law #134 Criterion: 1033;
	Law #138 Criterion: 709;
	Law #143 Criterion: 863;
	Law #147 Criterion: 353;
	Law #152 Criterion: 853;
	Law #153 Criterion: 1433;
	Law #154 Criterion: 1997;
	Law #163 Criterion: 167;
	Law #165 Criterion: 439;
	Law #166 Criterion: 1489;
	Law #171 Criterion: 1693;
	Law #173 Criterion: 181;
	Law #174 Criterion: 1249;
Person #41
Wants to be in party: 1
Strategy of voting: party_voting
Votes for:
	Law #0 Criterion: 1621;
	Law #1 Criterion: 383;
	Law #3 Criterion: 1697;
	Law #4 Criterion: 1553;
	Law #5 Criterion: 1753;
	Law #7 Criterion: 1091;
	Law #11 Criterion: 227;
	Law #12 Criterion: 1187;
	Law #15 Criterion: 461;
	Law #17 Criterion: 1303;
	Law #20 Criterion: 1123;
	Law #24 Criterion: 1879;
	Law #25 Criterion: 1901;
	Law #27 Criterion: 593;
	Law #28 Criterion: 557;
	Law #31 Criterion: 193;
	Law #35 Criterion: 1061;
	Law #36 Criterion: 13;
	Law #45 Criterion: 1621;
	Law #49 Criterion: 13;
	Law #50 Criterion: 1109;
	Law #52 Criterion: 1669;
	Law #53 Criterion: 1847;
	Law #54 Criterion: 67;
	Law #55 Criterion: 1619;
	Law #56 Criterion: 139;
	Law #58 Criterion: 947;
	Law #59 Criterion: 353;
	Law #62 Criterion: 941;
	Law #63 Criterion: 199;
	Law #64 Criterion: 661;
	Law #68 Criterion: 1061;
	Law #71 Criterion: 1931;
	Law #72 Criterion: 101;
	Law #75 Criterion: 419;
	Law #80 Criterion: 1789;
	Law #81 Criterion: 743;
	Law #82 Criterion: 461;
	Law #95 Criterion: 661;
	Law #96 Criterion: 1889;
	Law #97 Criterion: 293;
	Law #100 Criterion: 157;
	Law #101 Criterion: 1201;
	Law #102 Criterion: 1213;
	Law #103 Criterion: 1031;
	Law #104 Criterion: 1499;
	Law #109 Criterion: 307;
	Law #113 Criterion: 1609;
	Law #115 Criterion: 883;
	Law #121 Criterion: 457;
	Law #122 Criterion: 761;
	Law #124 Criterion: 691;
	Law #125 Criterion: 137;
	Law #126 Criterion: 463;
	Law #128 Criterion: 271;
	Law #131 Criterion: 997;
	Law #137 Criterion: 937;
	Law #139 Criterion: 653;
	Law #143 Criterion: 1471;
